Event_Title,Location,Capacity,Date,Catering,Entertainment,Price
Marriage,Delhi,3378,2024-12-23,Yes,No,302760.23
Birthday,Bhubaneswar,2344,2024-06-05,No,Yes,162713.51
Marriage,Mumbai,3117,2024-02-04,No,No,286124.77
Meetup,Delhi,3522,2025-10-06,Yes,No,279168.86
Meetup,Bangalore,1640,2024-02-24,No,No,132578.9
Marriage,Pune,2865,2025-03-13,Yes,Yes,257646.9
Marriage,Delhi,1502,2025-12-03,Yes,Yes,184475.22
Corporate,Mumbai,266,2025-08-01,No,No,62432.9
Meetup,Bhubaneswar,113,2024-11-23,No,Yes,34731.45
Meetup,Hyderabad,4708,2024-12-20,Yes,No,337763.24
Birthday,Delhi,360,2025-01-01,Yes,No,61854.21
Birthday,Delhi,3251,2024-09-26,No,Yes,260906.09
Corporate,Mumbai,3736,2025-04-18,Yes,Yes,350051.23
Marriage,Pune,2022,2024-12-18,No,Yes,190479.85
Meetup,Bhubaneswar,4314,2024-02-12,Yes,Yes,280521.94
Birthday,Delhi,3988,2024-05-31,Yes,Yes,328846.91
Marriage,Pune,794,2024-07-23,No,No,102548.52
Birthday,Bangalore,1844,2025-12-28,No,No,151107.17
Meetup,Kolkata,1500,2025-07-09,No,Yes,119549.88
Meetup,Mumbai,3365,2025-05-11,No,Yes,282341.27
Corporate,Chennai,4206,2024-03-22,No,No,294662.03
Corporate,Ahmedabad,1725,2024-10-24,No,No,137569.61
Marriage,Hyderabad,1480,2025-09-23,Yes,Yes,174250.08
Meetup,Kolkata,4257,2025-04-05,Yes,Yes,298988.73
Birthday,Kolkata,1474,2024-12-09,No,Yes,123243.17
Birthday,Bhubaneswar,2645,2025-05-01,Yes,No,183330.31
Birthday,Cuttack,1536,2024-04-27,No,No,98201.74
Meetup,Pune,2666,2025-06-08,Yes,No,197639.66
Corporate,Delhi,4916,2024-10-03,No,No,385523.52
Corporate,Kolkata,2519,2024-01-02,No,Yes,205933.31
Corporate,Pune,745,2025-09-20,Yes,Yes,116367.67
Corporate,Bangalore,2285,2025-09-16,Yes,Yes,228163.56
Birthday,Mumbai,4371,2024-01-01,Yes,No,363907.86
Marriage,Bangalore,3259,2025-09-22,No,No,279663.73
Corporate,Hyderabad,2276,2025-10-01,No,No,189695.99
Corporate,Pune,2632,2025-06-10,No,No,206242.92
Birthday,Bangalore,2011,2024-09-07,No,No,162642.77
Birthday,Pune,1622,2024-03-27,Yes,Yes,151236.5
Meetup,Kolkata,3547,2024-08-20,Yes,No,243893.77
Corporate,Chennai,4440,2024-04-26,Yes,No,322448.71
Corporate,Kolkata,2520,2024-04-07,Yes,Yes,220470.09
Birthday,Cuttack,3481,2024-03-27,No,No,195095.64
Corporate,Bhubaneswar,623,2025-07-01,Yes,Yes,103479.85
Meetup,Cuttack,4427,2024-03-08,Yes,No,254057.53
Corporate,Delhi,1133,2024-02-25,No,No,120560.65
Meetup,Pune,1796,2024-03-12,No,Yes,141665.53
Corporate,Bhubaneswar,2588,2025-01-03,No,No,183653.29
Marriage,Pune,2417,2025-05-11,No,No,202489.71
Marriage,Hyderabad,1027,2024-01-08,No,No,119230.33
Meetup,Delhi,3403,2024-09-11,No,No,254767.03
Birthday,Hyderabad,3076,2024-06-12,No,Yes,234252.96
Corporate,Bangalore,1460,2025-06-28,Yes,No,158851.07
Corporate,Mumbai,4573,2025-11-05,No,Yes,397264.08
Birthday,Kolkata,190,2024-05-22,Yes,Yes,60885.31
Birthday,Hyderabad,635,2025-06-25,Yes,No,77651.76
Corporate,Pune,2661,2025-08-09,Yes,No,224221.67
Marriage,Hyderabad,4314,2024-04-07,Yes,No,346971.98
Birthday,Delhi,1110,2024-10-27,No,Yes,110804.53
Birthday,Bhubaneswar,3785,2024-08-15,No,No,230245.9
Meetup,Hyderabad,4653,2024-08-09,Yes,Yes,345663.69
Birthday,Ahmedabad,3091,2024-07-02,No,No,191658.93
Birthday,Cuttack,265,2024-07-06,Yes,No,49591.8
Marriage,Bhubaneswar,2325,2025-10-25,Yes,No,194734.54
Marriage,Cuttack,2541,2025-03-09,Yes,Yes,205903.19
Corporate,Delhi,1979,2024-12-03,No,Yes,193023.44
Birthday,Kolkata,4190,2024-05-12,No,No,273514.65
Corporate,Mumbai,1294,2025-09-30,No,No,139786.22
Meetup,Kolkata,1197,2024-04-02,Yes,No,104333.59
Corporate,Mumbai,2855,2024-03-10,No,Yes,267279.09
Corporate,Pune,4612,2025-01-02,Yes,No,344647.19
Birthday,Kolkata,300,2024-11-06,Yes,Yes,67161.98
Corporate,Bangalore,3229,2024-10-23,No,Yes,279559.23
Corporate,Mumbai,3034,2025-05-27,Yes,Yes,297013.48
Corporate,Kolkata,1370,2024-03-08,No,Yes,137144.98
Corporate,Bhubaneswar,742,2024-07-26,Yes,No,97827.78
Corporate,Pune,3892,2025-07-12,No,No,285901.0
Birthday,Cuttack,535,2025-03-16,Yes,No,63758.02
Corporate,Delhi,2265,2025-05-03,Yes,No,215045.54
Corporate,Bangalore,209,2025-10-26,Yes,Yes,84302.98
Meetup,Pune,4177,2025-11-05,No,No,278021.78
Marriage,Ahmedabad,515,2025-09-11,Yes,No,96201.13
Corporate,Delhi,2086,2024-07-28,No,Yes,199583.29
Marriage,Hyderabad,3160,2025-10-27,Yes,Yes,283444.25
Meetup,Bhubaneswar,1019,2024-01-06,No,Yes,85539.22
Birthday,Chennai,4390,2024-03-14,Yes,No,300980.17
Birthday,Kolkata,1268,2025-06-16,No,No,97514.92
Birthday,Hyderabad,1510,2024-02-11,Yes,Yes,147523.15
Marriage,Bhubaneswar,3279,2025-01-09,Yes,No,246587.88
Birthday,Pune,4817,2025-01-09,Yes,Yes,349258.17
Meetup,Pune,1321,2025-03-17,Yes,Yes,125678.26
Birthday,Hyderabad,3372,2025-11-06,Yes,Yes,268046.87
Birthday,Pune,4713,2025-08-20,Yes,Yes,343208.33
Corporate,Mumbai,1127,2024-12-14,No,No,126665.99
Marriage,Bangalore,3881,2024-04-24,Yes,Yes,351655.34
Corporate,Mumbai,433,2025-05-30,Yes,No,88580.0
Marriage,Bhubaneswar,51,2024-01-29,Yes,No,69210.55
Birthday,Hyderabad,190,2024-01-05,Yes,Yes,61427.13
Marriage,Cuttack,2681,2025-07-03,No,No,186712.47
Corporate,Pune,4429,2025-11-04,No,No,318332.12
Corporate,Mumbai,4783,2024-11-10,No,No,401561.69
Meetup,Cuttack,303,2025-04-22,No,Yes,43815.39
Birthday,Chennai,628,2024-01-25,Yes,Yes,85982.65
Meetup,Pune,3596,2025-05-02,Yes,Yes,269187.95
Birthday,Ahmedabad,4812,2025-02-26,Yes,No,302437.7
Marriage,Hyderabad,3290,2024-10-17,Yes,Yes,293417.1
Marriage,Cuttack,303,2025-05-14,No,No,67823.85
Birthday,Delhi,648,2025-05-11,Yes,Yes,94599.5
Marriage,Mumbai,2618,2024-01-07,No,No,247567.13
Corporate,Mumbai,3288,2024-06-06,Yes,No,303702.06
Meetup,Chennai,3198,2025-06-08,Yes,No,223424.34
Meetup,Kolkata,1433,2025-06-11,Yes,Yes,130173.94
Marriage,Mumbai,3979,2025-01-04,No,No,351319.82
Birthday,Cuttack,4910,2025-08-20,No,Yes,278830.5
Birthday,Mumbai,1554,2024-10-18,No,No,138419.31
Meetup,Hyderabad,2333,2024-03-08,Yes,No,184598.18
Meetup,Kolkata,1718,2024-01-19,No,No,119337.17
Marriage,Bhubaneswar,3812,2024-10-21,Yes,Yes,288439.23
Marriage,Kolkata,3549,2024-11-07,No,No,263983.06
Birthday,Kolkata,939,2025-08-30,Yes,No,93473.85
Meetup,Kolkata,299,2024-11-09,No,Yes,46456.97
Marriage,Mumbai,4212,2025-09-11,No,No,367309.25
Meetup,Chennai,3575,2025-07-17,Yes,No,246870.37
Meetup,Chennai,2599,2025-08-02,Yes,No,188200.87
Marriage,Mumbai,3581,2024-04-05,Yes,No,334853.99
Meetup,Kolkata,4563,2024-01-01,No,Yes,302311.25
Marriage,Cuttack,4758,2024-03-23,No,No,290352.51
Meetup,Kolkata,1354,2024-07-29,Yes,No,113233.43
Birthday,Kolkata,2179,2025-03-28,Yes,No,167790.01
Marriage,Pune,785,2025-11-25,Yes,No,115804.18
Marriage,Mumbai,2666,2024-12-12,No,No,252297.63
Birthday,Bhubaneswar,2713,2024-11-08,No,No,171630.62
Birthday,Mumbai,2372,2025-05-20,No,No,199836.72
Corporate,Bhubaneswar,2276,2025-04-27,No,Yes,179303.55
Meetup,Chennai,1761,2024-03-05,Yes,No,137851.83
Marriage,Delhi,2285,2025-12-24,Yes,No,227440.37
Birthday,Delhi,3488,2025-02-16,Yes,No,280872.11
Corporate,Hyderabad,3171,2025-12-13,No,Yes,260238.49
Meetup,Pune,1942,2024-11-03,Yes,Yes,165348.7
Meetup,Hyderabad,3176,2025-08-29,Yes,Yes,249831.38
Birthday,Mumbai,4281,2025-11-24,No,No,342984.16
Marriage,Bangalore,3985,2025-06-10,Yes,No,344957.04
Marriage,Mumbai,2949,2024-09-07,No,No,272364.43
Birthday,Delhi,4418,2025-06-30,Yes,No,345840.57
Marriage,Kolkata,1335,2025-04-24,No,Yes,144985.75
Meetup,Cuttack,3546,2024-06-23,No,No,194557.22
Marriage,Pune,4966,2024-05-10,No,No,361947.6
Birthday,Hyderabad,1534,2024-02-10,No,Yes,132948.22
Meetup,Ahmedabad,646,2024-12-06,Yes,Yes,78721.16
Meetup,Bangalore,1259,2025-11-23,Yes,Yes,132214.73
Meetup,Kolkata,1176,2025-04-18,No,No,87093.27
Birthday,Hyderabad,4505,2024-01-26,Yes,No,330703.24
Birthday,Hyderabad,3580,2024-05-21,No,No,255553.72
Meetup,Hyderabad,3488,2024-07-12,No,Yes,254823.52
Corporate,Hyderabad,822,2025-10-13,Yes,Yes,121748.14
Corporate,Bangalore,1903,2024-11-22,No,No,176175.82
Birthday,Pune,1592,2024-02-04,No,No,121223.3
Birthday,Ahmedabad,4610,2024-12-29,Yes,Yes,303350.62
Corporate,Chennai,2038,2024-05-10,Yes,No,179706.35
Corporate,Hyderabad,511,2024-08-09,No,Yes,86598.33
Marriage,Bangalore,3129,2024-12-18,No,No,271198.31
Corporate,Cuttack,2909,2025-08-19,No,No,188128.51
Corporate,Pune,2717,2025-10-13,No,Yes,223524.28
Birthday,Hyderabad,4891,2024-09-28,Yes,Yes,366774.13
Meetup,Pune,137,2024-03-14,No,Yes,36564.01
Corporate,Ahmedabad,2295,2024-08-25,Yes,Yes,195678.82
Birthday,Ahmedabad,3109,2025-04-04,No,Yes,205905.54
Corporate,Kolkata,3468,2024-08-10,No,Yes,262487.69
Meetup,Chennai,2862,2024-10-21,No,No,188317.0
Meetup,Bhubaneswar,3504,2024-03-08,Yes,No,223909.27
Corporate,Delhi,4024,2025-11-16,Yes,Yes,349715.96
Corporate,Chennai,4611,2025-07-31,Yes,Yes,345784.52
Marriage,Delhi,1272,2025-06-29,Yes,Yes,167289.58
Birthday,Bhubaneswar,2569,2025-10-31,Yes,Yes,190407.77
Corporate,Cuttack,3140,2024-01-11,No,Yes,210004.19
Birthday,Kolkata,789,2024-02-17,Yes,No,84094.32
Corporate,Chennai,4565,2025-01-05,Yes,Yes,343402.91
Corporate,Ahmedabad,3924,2025-06-07,Yes,No,272407.56
Meetup,Hyderabad,842,2025-12-14,Yes,Yes,98558.41
Corporate,Kolkata,4863,2025-05-24,Yes,Yes,360570.25
Birthday,Bhubaneswar,4835,2025-12-24,Yes,Yes,315134.42
Birthday,Bangalore,1877,2024-09-01,Yes,Yes,180116.6
Marriage,Bhubaneswar,234,2025-11-17,No,Yes,75940.5
Meetup,Cuttack,904,2025-10-14,Yes,No,76634.12
Marriage,Mumbai,4616,2024-11-26,No,No,398490.3
Meetup,Pune,1595,2025-08-09,Yes,Yes,143770.76
Corporate,Chennai,2389,2024-03-10,No,No,184349.18
Meetup,Mumbai,4421,2025-05-29,No,Yes,360679.21
Marriage,Kolkata,4753,2025-05-11,No,No,336668.43
Marriage,Chennai,365,2025-06-10,No,Yes,86155.27
Marriage,Hyderabad,62,2024-06-27,Yes,No,71614.75
Birthday,Pune,4185,2025-10-23,No,Yes,295215.01
Corporate,Hyderabad,2431,2024-09-19,Yes,Yes,226059.68
Birthday,Bhubaneswar,4464,2024-02-24,No,Yes,279549.3
Corporate,Kolkata,2305,2025-08-02,No,Yes,191848.85
Birthday,Delhi,4537,2025-04-02,Yes,Yes,366184.06
Marriage,Cuttack,1636,2025-05-20,No,Yes,145365.56
Birthday,Hyderabad,3336,2024-06-14,No,No,239164.99
Marriage,Cuttack,1484,2025-06-05,Yes,No,140400.15
Meetup,Delhi,3031,2024-01-17,No,No,228330.28
Corporate,Bangalore,1338,2024-02-06,Yes,Yes,162616.2
Birthday,Pune,2594,2025-10-27,No,Yes,195720.35
Birthday,Ahmedabad,3745,2024-05-12,Yes,No,243433.95
Marriage,Delhi,4516,2024-08-30,No,Yes,379366.58
Meetup,Hyderabad,3370,2024-05-09,Yes,Yes,263987.9
Birthday,Chennai,4935,2024-05-05,No,Yes,330254.14
Corporate,Cuttack,380,2024-11-08,No,Yes,72302.59
Meetup,Mumbai,4907,2024-03-01,Yes,No,400823.51
Marriage,Mumbai,2474,2024-02-02,No,Yes,249991.85
Corporate,Ahmedabad,2964,2024-09-19,No,Yes,218010.22
Meetup,Pune,4524,2025-03-27,No,Yes,312141.14
Marriage,Cuttack,3555,2024-01-11,No,Yes,240755.74
Meetup,Cuttack,4701,2025-03-16,Yes,No,267968.47
Corporate,Hyderabad,2250,2024-12-07,No,Yes,200130.82
Birthday,Delhi,1044,2025-10-29,Yes,Yes,121475.98
Corporate,Bangalore,4424,2024-11-15,No,Yes,363581.34
Meetup,Hyderabad,948,2024-05-22,Yes,Yes,105581.52
Birthday,Delhi,4216,2025-03-20,No,No,316997.12
Corporate,Bhubaneswar,1197,2024-10-27,Yes,Yes,135527.37
Meetup,Hyderabad,1036,2025-01-23,Yes,No,99651.15
Meetup,Pune,2773,2024-12-02,Yes,No,204809.85
Marriage,Ahmedabad,3946,2025-09-03,Yes,No,284974.25
Corporate,Bhubaneswar,4142,2024-05-24,Yes,Yes,297132.04
Meetup,Ahmedabad,125,2025-04-02,Yes,Yes,50272.65
Birthday,Kolkata,523,2024-05-14,No,No,53460.56
Meetup,Delhi,723,2024-08-26,No,Yes,79656.82
Birthday,Chennai,1651,2024-05-15,No,No,121449.28
Corporate,Pune,4768,2025-08-28,Yes,Yes,366614.0
Birthday,Chennai,4651,2025-07-19,No,No,300357.03
Corporate,Hyderabad,4783,2025-03-15,Yes,No,367159.07
Meetup,Kolkata,2065,2025-11-03,Yes,Yes,167592.13
Corporate,Cuttack,578,2024-10-19,No,No,70769.21
Corporate,Mumbai,3625,2024-03-23,Yes,No,329272.75
Birthday,Pune,3223,2024-08-11,No,No,223742.23
Corporate,Mumbai,935,2025-11-27,No,Yes,124281.29
Birthday,Mumbai,1701,2024-10-03,No,Yes,161105.13
Birthday,Bhubaneswar,344,2024-10-06,Yes,Yes,68174.09
Marriage,Hyderabad,3994,2024-05-15,No,No,311452.71
Corporate,Chennai,293,2024-09-16,Yes,No,74636.79
Corporate,Kolkata,1737,2025-03-29,No,Yes,157488.54
Meetup,Bangalore,1495,2024-12-30,Yes,Yes,149160.78
Birthday,Bangalore,1748,2024-08-13,Yes,No,159990.55
Corporate,Hyderabad,1660,2024-01-05,Yes,No,165208.21
Birthday,Chennai,3933,2025-03-29,Yes,No,273848.77
Meetup,Pune,4793,2024-10-07,No,No,316605.59
Marriage,Bhubaneswar,4489,2024-09-26,No,Yes,311424.72
Birthday,Mumbai,3630,2024-04-29,No,No,295249.01
Marriage,Delhi,2379,2025-02-24,No,Yes,230103.8
Birthday,Kolkata,4278,2024-09-19,Yes,No,293794.81
Meetup,Kolkata,650,2025-10-05,Yes,Yes,82903.42
Birthday,Chennai,119,2025-12-25,No,No,28221.38
Meetup,Pune,914,2024-02-02,Yes,No,89078.81
Marriage,Hyderabad,4925,2024-01-10,No,Yes,384028.72
Birthday,Bangalore,780,2025-08-15,Yes,No,91961.68
Corporate,Mumbai,4465,2025-08-22,No,Yes,388353.42
Meetup,Delhi,3721,2025-09-08,Yes,No,292497.27
Birthday,Cuttack,846,2024-05-16,Yes,Yes,91451.69
Birthday,Pune,2886,2025-01-30,Yes,No,217379.37
Corporate,Delhi,1758,2025-02-09,No,Yes,176685.61
Corporate,Hyderabad,4577,2024-01-21,No,Yes,351566.78
Corporate,Kolkata,1025,2024-12-01,No,Yes,114757.07
Meetup,Bhubaneswar,729,2024-07-17,No,Yes,68381.7
Birthday,Kolkata,1194,2025-05-07,No,Yes,106627.37
Birthday,Kolkata,713,2025-12-11,No,Yes,76243.74
Marriage,Bhubaneswar,1095,2025-08-14,No,Yes,124878.08
Birthday,Bangalore,2105,2024-12-30,Yes,No,184919.4
Meetup,Kolkata,2045,2024-12-12,Yes,No,155247.7
Corporate,Cuttack,2243,2025-11-09,Yes,No,168238.29
Marriage,Cuttack,4335,2025-01-30,No,Yes,280814.67
Birthday,Cuttack,2683,2025-12-17,Yes,No,171603.4
Birthday,Bangalore,1517,2025-10-05,No,Yes,140515.45
Birthday,Bangalore,4891,2024-01-14,Yes,No,378888.37
Marriage,Mumbai,3204,2025-12-23,Yes,Yes,319819.37
Corporate,Pune,4360,2025-10-21,Yes,Yes,342092.48
Marriage,Delhi,3467,2024-09-02,No,Yes,307128.08
Birthday,Bhubaneswar,3063,2024-11-29,No,No,190959.05
Meetup,Ahmedabad,4833,2024-09-16,No,Yes,294570.48
Corporate,Chennai,4381,2024-11-11,Yes,No,320091.55
Birthday,Kolkata,4121,2024-09-06,No,Yes,281186.89
Marriage,Bangalore,3654,2024-01-23,Yes,Yes,335066.84
Marriage,Kolkata,2105,2024-12-24,No,No,178590.97
Birthday,Bangalore,3577,2025-12-04,Yes,No,288083.79
Corporate,Hyderabad,124,2025-03-13,Yes,No,65938.75
Corporate,Ahmedabad,3900,2024-11-16,Yes,No,271341.02
Corporate,Mumbai,1891,2024-07-01,Yes,Yes,211257.77
Marriage,Mumbai,977,2024-01-21,Yes,No,139430.76
Meetup,Kolkata,941,2025-03-16,Yes,Yes,99837.8
Corporate,Chennai,2619,2025-02-21,Yes,No,213378.3
Corporate,Cuttack,239,2024-03-02,Yes,Yes,80535.79
Meetup,Pune,1568,2025-11-02,Yes,No,129589.63
Birthday,Bhubaneswar,2668,2024-02-27,Yes,No,183877.54
Marriage,Hyderabad,1597,2024-02-01,No,No,155632.87
Meetup,Hyderabad,2135,2025-01-07,No,Yes,168514.13
Marriage,Delhi,4163,2025-02-11,No,No,343236.11
Marriage,Delhi,2051,2025-01-30,No,Yes,207212.31
Meetup,Mumbai,1766,2025-10-25,No,Yes,161090.36
Corporate,Bhubaneswar,4252,2024-08-30,No,Yes,288044.88
Meetup,Cuttack,3347,2024-05-17,No,Yes,196049.48
Birthday,Mumbai,2702,2025-05-01,Yes,Yes,251851.5
Marriage,Bangalore,1273,2025-07-04,Yes,Yes,168907.1
Corporate,Delhi,2548,2025-09-22,Yes,No,235052.15
Meetup,Pune,3852,2025-09-15,Yes,Yes,285296.32
Meetup,Cuttack,533,2025-08-28,No,No,42920.17
Meetup,Bangalore,4721,2025-05-19,No,No,348004.94
Meetup,Chennai,314,2025-07-14,No,Yes,47609.75
Meetup,Delhi,3835,2024-04-10,Yes,Yes,312444.13
Corporate,Chennai,2458,2025-03-24,Yes,No,205104.78
Meetup,Ahmedabad,4488,2025-03-05,No,No,264214.56
Meetup,Bangalore,2932,2024-03-24,No,Yes,234244.32
Birthday,Mumbai,1098,2024-09-24,Yes,Yes,131509.97
Meetup,Hyderabad,4286,2025-03-31,No,Yes,306952.1
Meetup,Cuttack,2467,2025-04-08,No,Yes,152939.57
Meetup,Kolkata,4448,2025-06-20,No,Yes,295877.25
Marriage,Cuttack,2117,2024-03-03,Yes,No,172300.55
Marriage,Chennai,979,2024-10-04,Yes,Yes,138554.68
Marriage,Bhubaneswar,2412,2024-08-25,No,Yes,197395.91
Birthday,Delhi,853,2024-11-02,Yes,No,95951.75
Meetup,Bangalore,582,2024-03-20,Yes,No,72254.98
Birthday,Ahmedabad,4533,2025-07-06,No,No,270331.31
Corporate,Pune,4453,2025-01-03,No,No,321019.56
Corporate,Ahmedabad,2010,2024-08-20,Yes,Yes,180077.29
Marriage,Bhubaneswar,2452,2024-08-09,Yes,Yes,214540.55
Marriage,Cuttack,4874,2024-04-09,Yes,No,310300.22
Meetup,Pune,3858,2024-07-17,No,No,258149.98
Corporate,Hyderabad,2967,2024-05-27,Yes,No,250405.96
Birthday,Hyderabad,2080,2024-10-01,Yes,No,172689.69
Corporate,Cuttack,2682,2024-09-11,Yes,Yes,203645.69
Meetup,Chennai,3413,2025-10-20,No,No,222439.63
Marriage,Hyderabad,1528,2025-09-20,Yes,No,166406.29
Marriage,Chennai,1280,2025-11-07,No,No,129402.74
Birthday,Delhi,2916,2024-01-13,No,Yes,237601.79
Meetup,Bangalore,2167,2025-01-30,Yes,No,183977.66
Meetup,Pune,998,2024-11-25,No,Yes,91863.33
Birthday,Bangalore,2706,2025-06-08,Yes,Yes,238724.78
Birthday,Kolkata,2219,2024-07-29,No,No,154970.58
Meetup,Kolkata,125,2025-12-19,No,No,24587.99
Marriage,Kolkata,4002,2024-02-21,No,Yes,304312.19
Corporate,Cuttack,4212,2024-01-10,No,Yes,265480.33
Meetup,Cuttack,4260,2024-06-12,Yes,No,245636.54
Birthday,Delhi,3269,2025-07-26,Yes,Yes,277847.02
Meetup,Bhubaneswar,1338,2025-05-15,No,No,90807.84
Meetup,Hyderabad,1337,2025-01-22,No,No,104273.42
Meetup,Ahmedabad,1685,2025-06-30,Yes,No,123698.03
Birthday,Ahmedabad,4851,2024-10-11,Yes,No,303190.89
Marriage,Cuttack,3479,2025-03-22,Yes,Yes,253671.08
Meetup,Pune,2588,2024-04-12,No,Yes,191650.78
Marriage,Bhubaneswar,2956,2025-10-24,No,Yes,226123.43
Birthday,Bangalore,3968,2025-08-28,No,No,300240.58
Corporate,Mumbai,4218,2025-02-20,No,No,358860.7
Corporate,Delhi,1485,2024-02-15,Yes,Yes,173402.42
Birthday,Delhi,1456,2024-08-26,Yes,No,139466.76
Corporate,Kolkata,1337,2024-04-04,No,No,122791.3
Marriage,Bhubaneswar,4104,2025-12-09,No,No,277528.88
Marriage,Kolkata,839,2024-01-25,No,Yes,114715.88
Marriage,Cuttack,2175,2024-01-01,Yes,Yes,187435.17
Corporate,Cuttack,3649,2024-01-31,Yes,Yes,252369.48
Marriage,Hyderabad,4448,2025-09-01,No,Yes,353250.24
Birthday,Pune,4142,2025-05-02,No,No,280674.58
Corporate,Kolkata,2269,2024-04-24,Yes,No,194084.48
Meetup,Kolkata,1177,2024-04-24,Yes,Yes,114370.81
Meetup,Kolkata,4044,2025-06-03,No,Yes,271340.33
Marriage,Hyderabad,1361,2024-01-25,No,No,140119.63
Corporate,Hyderabad,2517,2025-09-04,Yes,Yes,231786.14
Marriage,Pune,2950,2024-06-25,No,No,237133.45
Birthday,Cuttack,1516,2025-02-13,Yes,No,112366.95
Meetup,Kolkata,3075,2025-06-10,No,Yes,213711.41
Meetup,Kolkata,4214,2024-02-04,No,No,269652.03
Meetup,Cuttack,2809,2025-05-10,No,Yes,169058.14
Corporate,Pune,3395,2025-10-18,No,Yes,265601.13
Meetup,Kolkata,3781,2025-11-29,No,No,243875.96
Corporate,Hyderabad,4934,2024-03-19,Yes,Yes,389104.44
Marriage,Pune,1707,2025-06-16,No,No,159628.85
Corporate,Hyderabad,2737,2024-11-26,Yes,No,234912.08
Corporate,Pune,3613,2025-05-08,Yes,Yes,294150.92
Meetup,Mumbai,4729,2025-11-02,Yes,No,386507.27
Corporate,Mumbai,2277,2024-04-18,No,Yes,225662.45
Corporate,Delhi,1924,2025-08-04,Yes,Yes,203056.44
Meetup,Mumbai,2180,2024-02-07,No,No,179602.83
Marriage,Pune,974,2025-06-21,No,Yes,124525.49
Meetup,Mumbai,833,2024-11-18,No,No,79358.91
Birthday,Cuttack,4602,2024-12-10,Yes,No,267007.68
Meetup,Bhubaneswar,1300,2025-05-05,Yes,No,104309.64
Corporate,Pune,731,2024-05-07,Yes,Yes,113763.59
Corporate,Bhubaneswar,4104,2025-03-05,No,Yes,279339.3
Meetup,Mumbai,704,2025-12-30,No,No,70577.94
Meetup,Delhi,4706,2025-10-02,Yes,Yes,374063.31
Meetup,Hyderabad,4521,2025-05-19,No,Yes,321934.48
Meetup,Hyderabad,4861,2025-09-13,No,Yes,345048.57
Corporate,Pune,3511,2025-08-10,Yes,Yes,288057.4
Marriage,Chennai,4856,2024-08-26,No,Yes,355547.76
Meetup,Hyderabad,4047,2024-06-01,No,Yes,292669.32
Marriage,Mumbai,2555,2024-09-23,Yes,No,259188.7
Meetup,Kolkata,725,2024-04-17,Yes,No,75543.14
Birthday,Delhi,504,2024-11-18,No,No,57136.42
Marriage,Cuttack,2262,2024-03-25,No,Yes,177789.34
Birthday,Kolkata,3152,2025-08-08,No,No,211940.27
Corporate,Bhubaneswar,2018,2025-10-05,Yes,Yes,179958.12
Corporate,Delhi,4814,2024-03-14,Yes,Yes,406369.76
Corporate,Cuttack,3505,2025-02-07,No,Yes,229224.91
Meetup,Ahmedabad,4024,2025-02-09,No,Yes,249640.4
Meetup,Bhubaneswar,1699,2024-12-13,Yes,No,126425.43
Marriage,Kolkata,811,2025-06-09,Yes,No,114676.86
Meetup,Chennai,2468,2024-02-03,No,No,164612.57
Marriage,Chennai,832,2025-02-15,Yes,Yes,128641.15
Meetup,Cuttack,2428,2024-06-18,Yes,No,153178.5
